Payment Number,Date,Vendor Name,Mode,Amount,Paid Through,Reference Number,Bill Number,Bill Amount
PMT-49,2025-02-20,Epsilon Office Needs,Bank Transfer,56200,ICICI Bank,NEFTEON02,EON-B78,56200
PMT-50,2025-03-05,Anil Kumar Freelancer,Bank Transfer,10000,HDFC Bank,IMPSANIL07B,AKF-07B,10000
PMT-51,2025-03-18,Omega Suppliers,Cash,6750,Cash on Hand,CashPayOS03,OS-238,6750
PMT-52,2025-03-28,Zeta Hardware Mart,Bank Transfer,56500,ICICI Bank,NEFTZETA03B,ZHM-INV-2770,56500
PMT-53,2025-04-07,Epsilon Office Needs,Cheque,9350,HDFC Bank,CQ121212,EON-B91,9350
PMT-54,2025-04-12,Anil Kumar Freelancer,Bank Transfer,9000,ICICI Bank,IMPSANIL08B,AKF-08B,9000
PMT-55,2024-04-19,Connect Telecom,Bank Transfer,3500,HDFC Bank,NEFTCT04,CT-APR24,3500
PMT-56,2024-05-19,Connect Telecom,Bank Transfer,3650,HDFC Bank,IMPSCT05,CT-MAY24,3650
PMT-57,2024-06-19,Connect Telecom,Bank Transfer,3800,HDFC Bank,NEFTCT06,CT-JUN24,3800
PMT-58,2024-07-19,Connect Telecom,Bank Transfer,3750,HDFC Bank,IMPSCT07,CT-JUL24,3750
PMT-59,2024-08-19,Connect Telecom,Bank Transfer,3900,HDFC Bank,NEFTCT08,CT-AUG24,3900
PMT-60,2024-09-19,Connect Telecom,Bank Transfer,3850,HDFC Bank,IMPSCT09,CT-SEP24,3850
