Customer Name,Invoice Date,Invoice Number,Due Date,Place of Supply,Item Name,Quantity,Item Price,HSN/SAC
Sigma Digital,2024-12-20,INV-0046,2025-01-04,Tamil Nadu,IT Support - Monthly Retainer,1,25000,998315
Alpha Solutions Pvt Ltd,2025-01-08,INV-0047,2025-01-23,Maharashtra,Web Development Service,1,55000,998314
Beta Tech Services,2025-01-22,INV-0048,2025-02-06,Karnataka,Graphic Design Package,1,15000,998313
Gamma Innovations,2025-02-07,INV-0049,2025-02-22,Delhi,Business Consulting Hour,8,3000,998311
Delta Enterprises,2025-02-19,INV-0050,2025-03-06,Gujarat,Printer Cartridge,6,1250,844399
Riya Sharma Consulting,2025-03-03,INV-0051,2025-03-18,Maharashtra,Office Stationery Set,15,500,960810
Sigma Digital,2025-03-12,INV-0052,2025-03-27,Tamil Nadu,Laptop Model X,1,66000,847130
Alpha Solutions Pvt Ltd,2025-03-18,INV-0053,2025-04-02,Maharashtra,Business Consulting Hour,10,3000,998311
Beta Tech Services,2025-03-20,INV-0054,2025-04-04,Karnataka,Web Development Service,0.5,55000,998314
Gamma Innovations,2025-03-22,INV-0055,2025-04-06,Delhi,Graphic Design Package,1,15000,998313
Delta Enterprises,2025-03-24,INV-0056,2025-04-08,Gujarat,IT Support - Monthly Retainer,1,25000,998315
Riya Sharma Consulting,2025-03-26,INV-0057,2025-04-10,Maharashtra,Cloud Hosting - Annual,1,12000,998315
Sigma Digital,2025-03-28,INV-0058,2025-04-12,Tamil Nadu,Business Consulting Hour,5,3000,998311
Alpha Solutions Pvt Ltd,2025-03-30,INV-0059,2025-04-14,Maharashtra,Printer Cartridge,4,1250,844399
Beta Tech Services,2025-03-31,INV-0060,2025-04-15,Karnataka,Office Stationery Set,10,500,960810
