Customer Name,Payment #,Payment Date,Payment Mode,Amount Received (INR),Deposit To Account,Invoice(s) Paid
Beta Tech Services LLP,PMT-REC-041,2023-06-24,IMPS,147500.00,Cash - HDFC Bank Current A/c,INV-2024-034 // 125K + 18% GST
Gamma Consulting,PMT-REC-042,2023-06-25,RTGS,177000.00,Cash - HDFC Bank Current A/c,INV-2024-035 // 150K + 18% GST
Delta Digital Works,PMT-REC-043,2023-06-28,UPI,177000.00,Cash - HDFC Bank Current A/c,INV-2024-036 // 150K + 18% GST
Epsilon Systems India,PMT-REC-044,2023-06-29,NEFT,9440.00,Cash - HDFC Bank Current A/c,INV-2024-037 // 8K + 18% GST
Zeta Innovations,PMT-REC-045,2023-06-30,RTGS,413000.00,Cash - HDFC Bank Current A/c,INV-2024-038 // 350K + 18% GST
Omega Software Ltd,PMT-REC-046,2023-07-01,NEFT,88500.00,Cash - HDFC Bank Current A/c,INV-2024-039 // 75K + 18% GST
Sigma Analytics Co,PMT-REC-047,2023-07-02,IMPS,63720.00,Cash - HDFC Bank Current A/c,INV-2024-040 // 54K + 18% GST
Alpha Solutions Pvt Ltd,PMT-REC-048,2023-07-05,NEFT,247800.00,Cash - HDFC Bank Current A/c,INV-2024-041 // 210K + 18% GST
Beta Tech Services LLP,PMT-REC-049,2023-07-06,IMPS,23600.00,Cash - HDFC Bank Current A/c,INV-2024-042 // 20K + 18% GST
Gamma Consulting,PMT-REC-050,2023-07-07,RTGS,29500.00,Cash - HDFC Bank Current A/c,INV-2024-043 // 25K + 18% GST
Delta Digital Works,PMT-REC-051,2023-07-08,UPI,212400.00,Cash - HDFC Bank Current A/c,INV-2024-044 // 180K + 18% GST
Epsilon Systems India,PMT-REC-052,2023-07-09,NEFT,177000.00,Cash - HDFC Bank Current A/c,INV-2024-045 // 150K + 18% GST


